          30
    0    0    0    1    1
 -0.608876E+02 -0.147271E+02 -0.538496E+02 -0.142721E+02 -0.430659E+02 -0.132376E+02 -0.384968E+02 -0.126169E+02
 -0.330188E+02 -0.116655E+02 -0.253407E+02 -0.980560E+01 -0.177971E+02 -0.717814E+01 -0.119086E+02 -0.454335E+01
 -0.847028E+01 -0.280979E+01 -0.379853E+01 -0.277704E+00  0.763787E+01  0.657329E+01  0.112255E+02  0.881850E+01
  0.210111E+01  0.199581E+01 -0.215983E+01 -0.155568E+01  0.264071E+00  0.157451E+00  0.107435E+01  0.806486E+00
  0.956815E+00  0.716156E+00  0.736310E+00  0.549118E+00  0.446017E+00  0.332487E+00  0.222269E+00  0.165319E+00
  0.934154E-01  0.691390E-01  0.318168E-01  0.232344E-01  0.675198E-02  0.459204E-02 -0.170995E-02 -0.168555E-02
 -0.483293E-02 -0.399581E-02 -0.871021E-02 -0.684054E-02 -0.536264E-02 -0.426023E-02  0.110566E-01  0.808805E-02
  0.422828E-01  0.314267E-01  0.599809E-01  0.445903E-01 -0.491584E+02 -0.138311E+02 -0.406813E+02 -0.128286E+02
 -0.367093E+02 -0.122271E+02 -0.317389E+02 -0.113050E+02 -0.245185E+02 -0.950265E+01 -0.172541E+02 -0.695637E+01
 -0.115131E+02 -0.440298E+01 -0.814073E+01 -0.272298E+01 -0.353920E+01 -0.269124E+00  0.780383E+01  0.637021E+01
  0.113744E+02  0.854605E+01  0.216671E+01  0.193414E+01 -0.217335E+01 -0.150761E+01  0.261969E+00  0.152587E+00
  0.108427E+01  0.781569E+00  0.965342E+00  0.694030E+00  0.742657E+00  0.532153E+00  0.449845E+00  0.322215E+00
  0.224134E+00  0.160212E+00  0.941600E-01  0.670029E-01  0.320347E-01  0.225166E-01  0.675966E-02  0.445017E-02
 -0.177138E-02 -0.163347E-02 -0.491911E-02 -0.387235E-02 -0.882441E-02 -0.662920E-02 -0.543836E-02 -0.412861E-02
  0.111342E-01  0.783816E-02  0.426353E-01  0.304557E-01  0.604819E-01  0.432127E-01 -0.355102E+02 -0.118987E+02
 -0.326804E+02 -0.113408E+02 -0.288027E+02 -0.104856E+02 -0.226401E+02 -0.881384E+01 -0.160230E+02 -0.645213E+01
 -0.106181E+02 -0.408383E+01 -0.739501E+01 -0.252560E+01 -0.295325E+01 -0.249617E+00  0.817108E+01  0.590846E+01
  0.117000E+02  0.792658E+01  0.231351E+01  0.179395E+01 -0.220139E+01 -0.139833E+01  0.256957E+00  0.141527E+00
  0.110571E+01  0.724916E+00  0.983789E+00  0.643723E+00  0.756362E+00  0.493579E+00  0.458110E+00  0.298859E+00
  0.228155E+00  0.148598E+00  0.957628E-01  0.621461E-01  0.325001E-01  0.208845E-01  0.677168E-02  0.412760E-02
 -0.190827E-02 -0.151507E-02 -0.510926E-02 -0.359166E-02 -0.907462E-02 -0.614868E-02 -0.560467E-02 -0.382934E-02
  0.113000E-01  0.727001E-02  0.433953E-01  0.282481E-01  0.615622E-01  0.400804E-01 -0.303636E+02 -0.108091E+02
